frequency,power_spectral_density
5845000000.0,-52.617
5845050251.256282,-52.373
5845100502.512563,-52.724
5845150753.768845,-51.893
5845201005.0251255,-52.27
5845251256.281407,-52.047
5845301507.537688,-53.059
5845351758.79397,-52.053
5845402010.050251,-52.426
5845452261.306533,-52.343
5845502512.562814,-52.228
5845552763.819096,-52.976
5845603015.0753765,-52.186
5845653266.331658,-53.0
5845703517.587939,-51.894
5845753768.844221,-53.18
5845804020.100503,-51.96
5845854271.356784,-52.326
5845904522.613066,-52.492
5845954773.869347,-52.871
5846005025.125628,-52.41
5846055276.381909,-53.111
5846105527.638191,-53.199
5846155778.894472,-52.907
5846206030.150754,-52.791
5846256281.407035,-52.68
5846306532.663317,-51.63
5846356783.919598,-51.679
5846407035.1758795,-21.743
5846457286.43216,-52.613
5846507537.688442,-52.108
5846557788.944724,-53.138
5846608040.201005,-52.014
5846658291.457287,-52.289
5846708542.713568,-52.235
5846758793.96985,-52.26
5846809045.2261305,-53.135
5846859296.482412,-52.503
5846909547.738693,-52.201
5846959798.994975,-51.633
5847010050.251256,-51.933
5847060301.507538,-52.82
5847110552.763819,-52.287
5847160804.020101,-52.594
5847211055.2763815,-51.89
5847261306.532663,-52.371
5847311557.788945,-52.068
5847361809.045226,-51.888
5847412060.301508,-53.145
5847462311.557789,-53.085
5847512562.814071,-52.392
5847562814.070352,-52.064
5847613065.326633,-51.688
5847663316.582914,-52.188
5847713567.839196,-52.211
5847763819.095477,-52.226
5847814070.351759,-52.841
5847864321.60804,-51.951
5847914572.864322,-51.573
5847964824.120603,-51.521
5848015075.376884,-52.115
5848065326.633165,-52.302
5848115577.889447,-52.958
5848165829.145729,-52.503
5848216080.40201,-52.32
5848266331.658292,-52.81
5848316582.914573,-52.357
5848366834.170855,-51.729
5848417085.427135,-52.956
5848467336.683417,-52.849
5848517587.939698,-51.883
5848567839.19598,-51.505
5848618090.452261,-52.027
5848668341.708543,-52.234
5848718592.964824,-52.092
5848768844.221106,-51.446
5848819095.477386,-52.798
5848869346.733668,-51.601
5848919597.98995,-52.14
5848969849.246231,-51.477
5849020100.502513,-52.614
5849070351.758794,-52.291
5849120603.015076,-52.532
5849170854.271357,-52.861
5849221105.527638,-51.814
5849271356.783919,-51.821
5849321608.040201,-52.997
5849371859.296482,-53.184
5849422110.552764,-51.761
5849472361.809045,-53.052
5849522613.065327,-51.612
5849572864.321608,-52.876
5849623115.577889,-52.013
5849673366.834171,-52.252
5849723618.090452,-52.059
5849773869.346734,-52.806
5849824120.603015,-52.474
5849874371.859297,-51.689
5849924623.115578,-52.606
5849974874.37186,-51.924
5850025125.62814,-51.964
5850075376.884422,-51.601
5850125628.140703,-52.815
5850175879.396985,-53.172
5850226130.653266,-52.183
5850276381.909548,-53.071
5850326633.165829,-52.763
5850376884.422111,-52.999
5850427135.678392,-52.595
5850477386.934673,-52.463
5850527638.190955,-52.48
5850577889.447236,-52.701
5850628140.703518,-52.337
5850678391.959799,-51.778
5850728643.216081,-52.039
5850778894.472362,-51.493
5850829145.728643,-51.591
5850879396.984924,-51.654
5850929648.241206,-51.525
5850979899.497487,-52.925
5851030150.753769,-51.531
5851080402.01005,-53.169
5851130653.266332,-52.997
5851180904.522614,-52.519
5851231155.778894,-52.298
5851281407.035176,-52.078
5851331658.291457,-52.547
5851381909.547739,-51.518
5851432160.80402,-51.589
5851482412.060302,-51.567
5851532663.316583,-51.502
5851582914.572865,-51.984
5851633165.829145,-52.215
5851683417.085427,-52.681
5851733668.341708,-51.468
5851783919.59799,-53.197
5851834170.854271,-53.007
5851884422.110553,-51.929
5851934673.366835,-52.465
5851984924.623116,-53.132
5852035175.879397,-52.073
5852085427.135678,-51.75
5852135678.39196,-52.8
5852185929.648241,-52.054
5852236180.904523,-52.493
5852286432.160804,-51.605
5852336683.417086,-53.026
5852386934.673367,-52.28
5852437185.929648,-52.331
5852487437.185929,-52.109
5852537688.442211,-51.889
5852587939.698492,-52.878
5852638190.954774,-51.874
5852688442.211055,-51.801
5852738693.467337,-52.031
5852788944.7236185,-52.625
5852839195.979899,-51.84
5852889447.236181,-53.029
5852939698.492462,-52.431
5852989949.748744,-51.655
5853040201.005025,-52.51
5853090452.261307,-52.431
5853140703.517588,-52.165
5853190954.7738695,-52.009
5853241206.03015,-51.973
5853291457.286432,-53.042
5853341708.542713,-52.632
5853391959.798995,-51.754
5853442211.055276,-52.637
5853492462.311558,-51.757
5853542713.56784,-51.9
5853592964.8241205,-52.775
5853643216.080402,-52.49
5853693467.336683,-52.022
5853743718.592965,-52.151
5853793969.849246,-52.05
5853844221.105528,-51.867
5853894472.361809,-52.494
5853944723.618091,-53.014
5853994974.874372,-52.14
5854045226.130653,-53.036
5854095477.386934,-51.799
5854145728.643216,-51.848
5854195979.899497,-51.996
5854246231.155779,-52.254
5854296482.412061,-52.75
5854346733.668342,-51.492
5854396984.9246235,-51.755
5854447236.180904,-52.494
5854497487.437186,-53.193
5854547738.693467,-53.114
5854597989.949749,-53.028
5854648241.20603,-52.898
5854698492.462312,-52.992
5854748743.718593,-53.127
5854798994.9748745,-51.752
5854849246.231155,-53.065
5854899497.487437,-52.585
5854949748.743718,-51.861
5855000000.0,-51.596
