frequency,power_spectral_density
5795000000.0,-52.617
5795050251.256282,-52.373
5795100502.512563,-52.724
5795150753.768845,-51.893
5795201005.0251255,-52.27
5795251256.281407,-52.047
5795301507.537688,-53.059
5795351758.79397,-52.053
5795402010.050251,-52.426
5795452261.306533,-52.343
5795502512.562814,-52.228
5795552763.819096,-52.976
5795603015.0753765,-52.186
5795653266.331658,-53.0
5795703517.587939,-51.894
5795753768.844221,-53.18
5795804020.100503,-51.96
5795854271.356784,-52.326
5795904522.613066,-52.492
5795954773.869347,-52.871
5796005025.125628,-52.41
5796055276.381909,-53.111
5796105527.638191,-53.199
5796155778.894472,-52.907
5796206030.150754,-52.791
5796256281.407035,-52.68
5796306532.663317,-51.63
5796356783.919598,-51.679
5796407035.1758795,-21.743
5796457286.43216,-52.613
5796507537.688442,-52.108
5796557788.944724,-53.138
5796608040.201005,-52.014
5796658291.457287,-52.289
5796708542.713568,-52.235
5796758793.96985,-52.26
5796809045.2261305,-53.135
5796859296.482412,-52.503
5796909547.738693,-52.201
5796959798.994975,-51.633
5797010050.251256,-51.933
5797060301.507538,-52.82
5797110552.763819,-52.287
5797160804.020101,-52.594
5797211055.2763815,-51.89
5797261306.532663,-52.371
5797311557.788945,-52.068
5797361809.045226,-51.888
5797412060.301508,-53.145
5797462311.557789,-53.085
5797512562.814071,-52.392
5797562814.070352,-52.064
5797613065.326633,-51.688
5797663316.582914,-52.188
5797713567.839196,-52.211
5797763819.095477,-52.226
5797814070.351759,-52.841
5797864321.60804,-51.951
5797914572.864322,-51.573
5797964824.120603,-51.521
5798015075.376884,-52.115
5798065326.633165,-52.302
5798115577.889447,-52.958
5798165829.145729,-52.503
5798216080.40201,-52.32
5798266331.658292,-52.81
5798316582.914573,-52.357
5798366834.170855,-51.729
5798417085.427135,-52.956
5798467336.683417,-52.849
5798517587.939698,-51.883
5798567839.19598,-51.505
5798618090.452261,-52.027
5798668341.708543,-52.234
5798718592.964824,-52.092
5798768844.221106,-51.446
5798819095.477386,-52.798
5798869346.733668,-51.601
5798919597.98995,-52.14
5798969849.246231,-51.477
5799020100.502513,-52.614
5799070351.758794,-52.291
5799120603.015076,-52.532
5799170854.271357,-52.861
5799221105.527638,-51.814
5799271356.783919,-51.821
5799321608.040201,-52.997
5799371859.296482,-53.184
5799422110.552764,-51.761
5799472361.809045,-53.052
5799522613.065327,-51.612
5799572864.321608,-52.876
5799623115.577889,-52.013
5799673366.834171,-52.252
5799723618.090452,-52.059
5799773869.346734,-52.806
5799824120.603015,-52.474
5799874371.859297,-51.689
5799924623.115578,-52.606
5799974874.37186,-51.924
5800025125.62814,-51.964
5800075376.884422,-51.601
5800125628.140703,-52.815
5800175879.396985,-53.172
5800226130.653266,-52.183
5800276381.909548,-53.071
5800326633.165829,-52.763
5800376884.422111,-52.999
5800427135.678392,-52.595
5800477386.934673,-52.463
5800527638.190955,-52.48
5800577889.447236,-52.701
5800628140.703518,-52.337
5800678391.959799,-51.778
5800728643.216081,-52.039
5800778894.472362,-51.493
5800829145.728643,-51.591
5800879396.984924,-51.654
5800929648.241206,-51.525
5800979899.497487,-52.925
5801030150.753769,-51.531
5801080402.01005,-53.169
5801130653.266332,-52.997
5801180904.522614,-52.519
5801231155.778894,-52.298
5801281407.035176,-52.078
5801331658.291457,-52.547
5801381909.547739,-51.518
5801432160.80402,-51.589
5801482412.060302,-51.567
5801532663.316583,-51.502
5801582914.572865,-51.984
5801633165.829145,-52.215
5801683417.085427,-52.681
5801733668.341708,-51.468
5801783919.59799,-53.197
5801834170.854271,-53.007
5801884422.110553,-51.929
5801934673.366835,-52.465
5801984924.623116,-53.132
5802035175.879397,-52.073
5802085427.135678,-51.75
5802135678.39196,-52.8
5802185929.648241,-52.054
5802236180.904523,-52.493
5802286432.160804,-51.605
5802336683.417086,-53.026
5802386934.673367,-52.28
5802437185.929648,-52.331
5802487437.185929,-52.109
5802537688.442211,-51.889
5802587939.698492,-52.878
5802638190.954774,-51.874
5802688442.211055,-51.801
5802738693.467337,-52.031
5802788944.7236185,-52.625
5802839195.979899,-51.84
5802889447.236181,-53.029
5802939698.492462,-52.431
5802989949.748744,-51.655
5803040201.005025,-52.51
5803090452.261307,-52.431
5803140703.517588,-52.165
5803190954.7738695,-52.009
5803241206.03015,-51.973
5803291457.286432,-53.042
5803341708.542713,-52.632
5803391959.798995,-51.754
5803442211.055276,-52.637
5803492462.311558,-51.757
5803542713.56784,-51.9
5803592964.8241205,-52.775
5803643216.080402,-52.49
5803693467.336683,-52.022
5803743718.592965,-52.151
5803793969.849246,-52.05
5803844221.105528,-51.867
5803894472.361809,-52.494
5803944723.618091,-53.014
5803994974.874372,-52.14
5804045226.130653,-53.036
5804095477.386934,-51.799
5804145728.643216,-51.848
5804195979.899497,-51.996
5804246231.155779,-52.254
5804296482.412061,-52.75
5804346733.668342,-51.492
5804396984.9246235,-51.755
5804447236.180904,-52.494
5804497487.437186,-53.193
5804547738.693467,-53.114
5804597989.949749,-53.028
5804648241.20603,-52.898
5804698492.462312,-52.992
5804748743.718593,-53.127
5804798994.9748745,-51.752
5804849246.231155,-53.065
5804899497.487437,-52.585
5804949748.743718,-51.861
5805000000.0,-51.596
