question,annotated
visualise column kdeplot for dbscan_labels hue outlier_dbscan,visualise column kdeplot [source : for] dbscan_labels [param : hue] outlier_dbscan
visualise column kdeplot for hf hue author fill True alpha 0.1 mew 1 mec 1 s 10 stheme viridis bw 10,visualise column kdeplot [source : for] hf [param : hue] author [pp : fill] True [pp : alpha] 0.1 [pp : mew] 1 [pp : mec] 1 [pp : s] 10 [pp : stheme] viridis [pp : bw] 10
create relplot using hf x pressure y mass_flux col geometry hue author,create relplot using hf [param : x] pressure [param : y] mass_flux [param : col] geometry [param : hue] author
pca dimensionality reduction using data mpg subset numerical columns only,pca dimensionality reduction [source : using data] mpg [source : subset] numerical columns only
create seaborn scatterplot using penguins x bill_length_mm y bill_depth_mm hue island,create seaborn scatterplot [source : using] penguins [param : x] bill_length_mm [param : y] bill_depth_mm [param : hue] island
create scatterplot using data x bill_length_mm y bill_depth_mm,create scatterplot [source : using] data [param : x] bill_length_mm [param : y] bill_depth_mm
create relplot using hf x pressure y x_e_out col geometry row author,create relplot [source : using] hf [param : x] pressure [param : y] x_e_out [param : col] geometry [param : row] author
create seaborn kernel density plot using hf x x_e_out y pressure hue geometry,create seaborn kernel density plot [source : using] hf [param : x] x_e_out [param : y] pressure [param : hue] geometry
visualise column kdeplot for hf hue author,visualise column kdeplot [source : for] hf [param : hue] author
visualise column kdeplot for hf hue geometry,visualise column kdeplot [source : for] hf [param : hue] geometry
create seaborn kernel density plot using hf x x_e_out,create seaborn kernel density plot [source : using] hf [param : x] x_e_out
visualise column kdeplot for compare hue set,visualise column kdeplot [source : for] compare [param : hue] set
make scatterplot x flipper_length_mm y body_mass_g using penguins,make scatterplot [param : x] flipper_length_mm [param : y] body_mass_g [source : using] penguins
plot scatterplot x flipper_length_mm y body_mass_g using penguins hue sex,plot scatterplot [param : x] flipper_length_mm [param : y] body_mass_g [source : using] penguins [param : hue] sex
plot scatterplot x flipper_length_mm y body_mass_g using penguins hue sex,plot scatterplot [param : x] flipper_length_mm [param : y] body_mass_g [source : using] penguins [param : hue] sex
plot lineplot x flipper_length_mm y body_mass_g using penguins hue sex,plot lineplot [param : x] flipper_length_mm [param : y] body_mass_g [source : using] penguins [param : hue] sex
seaborn regression x bill_length_mm y bill_depth_mm using penguins hue sex,seaborn regression [param : x] bill_length_mm [param : y] bill_depth_mm [source : using] penguins [param : hue] sex
seaborn regression x bill_length_mm y bill_depth_mm col species hue sex using penguins,seaborn regression [param : x] bill_length_mm [param : y] bill_depth_mm [param : col] species [param : hue] sex [source : using] penguins
create seaborn relplot for penguins x bill_length_mm y bill_depth_mm col species,create seaborn relplot [source : for] penguins [param : x] bill_length_mm [param : y] bill_depth_mm [param : col] species
create relplot using penguins x bill_length_mm y bill_depth_mm col species hue sex,create relplot [source : using] penguins [param : x] bill_length_mm [param : y] bill_depth_mm [param : col] species [param : hue] sex
create seaborn boxplot for penguins y bill_length_mm x species hue island,create seaborn boxplot [source : for] penguins [param : y] bill_length_mm [param : x] species [param : hue] island
create seaborn violinplot for penguins x bill_length_mm y sex hue island,create seaborn violinplot [source : for] penguins [param : x] bill_length_mm [param : y] sex [param : hue] island
create seaborn residual plot using penguins x bill_length_mm y bill_depth_mm,create seaborn residual plot [source : using] penguins [param : x] bill_length_mm [param : y] bill_depth_mm
create histogram for penguins x bill_length_mm bw 30,create histogram [source : for] penguins [param : x] bill_length_mm [pp : bw] 30
create histogram for penguins x bill_length_mm y bill_depth_mm bw 30,create histogram [source : for] penguins [param : x] bill_length_mm [param : y] bill_depth_mm [pp : bw] 30
create seaborn kernel density plot using penguins x bill_length_mm hue species,create seaborn kernel density plot [source : using] penguins [param : x] bill_length_mm [param : hue] species
create seaborn pairplot using penguins hue species,create seaborn pairplot [source : using] penguins [param : hue] species
column boxplot for penguins x species hue sex,column boxplot [source : for] penguins [param : x] species [param : hue] sex
visualise column scatterplot for penguins x bill_length_mm hue sex,visualise column scatterplot [source : for] penguins [param : x] bill_length_mm [param : hue] sex
visualise column kdeplot for penguins hue sex,visualise column kdeplot [source : for] penguins [param : hue] sex
visualise column kdeplot hue kfold using subsets,visualise column kdeplot [param : hue] kfold [source : using] subsets
plot scatterplot x s3 y s5 using zscore_labels hue outlier_zscore,plot scatterplot [param : x] s3 [param : y] s5 [source : using] zscore_labels [param : hue] outlier_zscore
plot scatterplot x s1 y s2 using iqr_labels hue outlier_iqr,plot scatterplot [param : x] s1 [param : y] s2 [source : using] iqr_labels [param : hue] outlier_iqr
find outliers using normal distribution for diab,find outliers using normal distribution [source : for] diab
find outliers using normal distribution use diab,find outliers using normal distribution [source : use] diab
create seaborn kernel density plot use hf and x x_e_out hue geometry,create seaborn kernel density plot [source : use] hf and [param : x] x_e_out [param : hue] geometry
find outliers using normal distribution using data diab,find outliers using normal distribution [source : using data] diab
create histogram using data penguins x bill_length_mm y bill_depth_mm,create histogram [source : using data] penguins [param : x] bill_length_mm [param : y] bill_depth_mm
create seaborn scatter plot using data pca,create seaborn scatter plot [source : using data] pca
pca dimensionality reduction using data housing,pca dimensionality reduction [source : using data] housing
pca dimensionality reduction using data mpg subset numerical columns only,pca dimensionality reduction [source : using data] mpg [subset : subset] [nsubset : numerical columns only]
pca dimensionality reduction use mpg set subset numerical only,pca dimensionality reduction [source : use] mpg [subset : set subset] [nsubset : numerical only]
pca dimensionality reduction use data mpg set subset numerical columns,pca dimensionality reduction [source : use data] mpg [subset : set subset] [nsubset : numerical columns]
pca dimensionality reduction set data mpg set subset numerical features,pca dimensionality reduction [source : set data] mpg [subset : set subset] [nsubset : numerical features]
pca dimensionality reduction set data mpg subset numerical features only,pca dimensionality reduction [source : set data] mpg [subset : subset] [nsubset : numerical features only]
pca dimensionality reduction set data mpg subset values only,pca dimensionality reduction [source : set data] mpg [subset : subset] [nsubset : values only]
pca dimensionality reduction set data mpg select numerical features only,pca dimensionality reduction [source : set data] mpg [nsubset : select numerical features only]
pca dimensionality reduction set data mpg select numerical only,pca dimensionality reduction [source : set data] mpg [nsubset : select numerical only]
pca dimensionality reduction set data mpg set subset select numeric columns only,pca dimensionality reduction [source : set data] mpg [subset : set subset] [nsubset : select numeric columns only]
create histogram for penguins x bill_length_mm y bill_depth_mm use active columns A,create histogram [source : for] penguins [param : x] bill_length_mm [param : y] bill_depth_mm [setac : use active columns] A
create histogram for penguins x bill_length_mm y bill_depth_mm use ac A,create histogram [source : for] penguins [param : x] bill_length_mm [param : y]
